"id","restriction_import","document_import","id_importfee_id","document_import_en","restriction_import_en"
"852",,"مستودع أومحل + 2 عامل","38089320","Warehouse or shop + 2 workers",
"853",,"مستودع أومحل + 2 عامل","38089390","Warehouse or shop + 2 workers",
"854",,"مستودع أومحل + 2 عامل","38089410","Warehouse or shop + 2 workers",
"855",,"مستودع أومحل + 2 عامل","38089420","Warehouse or shop + 2 workers",
"856",,"مستودع أومحل + 2 عامل","38089490","Warehouse or shop + 2 workers",
"857",,"مستودع أومحل + 2 عامل","38089910","Warehouse or shop + 2 workers",
"858",,"مستودع أومحل + 2 عامل","38089920","Warehouse or shop + 2 workers",
"859",,"مستودع أومحل + 2 عامل","38089930","Warehouse or shop + 2 workers",
"860",,"مستودع أومحل + 2 عامل","38089940","Warehouse or shop + 2 workers",
"861",,"مستودع أومحل + 2 عامل","38089990","Warehouse or shop + 2 workers",
"862",,"مستودع أومحل + 2 عامل","38091000","Warehouse or shop + 2 workers",
"863",,"مستودع أومحل + 2 عامل","38099100","Warehouse or shop + 2 workers",
"864",,"مستودع أومحل + 2 عامل","38099200","Warehouse or shop + 2 workers",
"865",,"مستودع أومحل + 2 عامل","38099300","Warehouse or shop + 2 workers",
"866",,"مستودع أومحل + 2 عامل","38101000","Warehouse or shop + 2 workers",
"867",,"مستودع أومحل + 2 عامل","38109000","Warehouse or shop + 2 workers",
"868",,"مستودع أومحل + 2 عامل","38111100","Warehouse or shop + 2 workers",
"869",,"مستودع أومحل + 2 عامل","38111900","Warehouse or shop + 2 workers",
"870",,"مستودع أومحل + 2 عامل","38112100","Warehouse or shop + 2 workers",
"871",,"مستودع أومحل + 2 عامل","38112900","Warehouse or shop + 2 workers",
"872",,"مستودع أومحل + 2 عامل","38119000","Warehouse or shop + 2 workers",
"873",,"مستودع أومحل + 2 عامل","38121000","Warehouse or shop + 2 workers",
"874",,"مستودع أومحل + 2 عامل","38122000","Warehouse or shop + 2 workers",
"875",,"مستودع أومحل + 2 عامل","38123100","Warehouse or shop + 2 workers",
"876",,"مستودع أومحل + 2 عامل","38123900","Warehouse or shop + 2 workers",
"877",,"مستودع أومحل + 2 عامل","38130000","Warehouse or shop + 2 workers",
"878",,"مستودع أومحل + 2 عامل","38140000","Warehouse or shop + 2 workers",
"879",,"مستودع أومحل + 2 عامل","38151100","Warehouse or shop + 2 workers",
"880",,"مستودع أومحل + 2 عامل","38151200","Warehouse or shop + 2 workers",
"881",,"مستودع أومحل + 2 عامل","38159000","Warehouse or shop + 2 workers",
"882",,"مستودع أومحل + 2 عامل","38160000","Warehouse or shop + 2 workers",
"883",,"مستودع أومحل + 2 عامل","38170000","Warehouse or shop + 2 workers",
"884",,"مستودع أومحل + 2 عامل","38190000","Warehouse or shop + 2 workers",
"885",,"مستودع أومحل + 2 عامل","38200000","Warehouse or shop + 2 workers",
"886",,"مستودع أومحل + 2 عامل","38210000","Warehouse or shop + 2 workers",
"887",,"مستودع أومحل + 2 عامل","38221100","Warehouse or shop + 2 workers",
"888",,"مستودع أومحل + 2 عامل","38221200","Warehouse or shop + 2 workers",
"889",,"مستودع أومحل + 2 عامل","38221300","Warehouse or shop + 2 workers",
"890",,"مستودع أومحل + 2 عامل","38221900","Warehouse or shop + 2 workers",
"891",,"مستودع أومحل + 2 عامل","38229000","Warehouse or shop + 2 workers",
"892",,"مستودع أومحل + 2 عامل","38231100","Warehouse or shop + 2 workers",
"893",,"مستودع أومحل + 2 عامل","38231200","Warehouse or shop + 2 workers",
"894",,"مستودع أومحل + 2 عامل","38231900","Warehouse or shop + 2 workers",
"895",,"مستودع أومحل + 2 عامل","38237000","Warehouse or shop + 2 workers",
"896",,"مستودع أومحل + 2 عامل","38241000","Warehouse or shop + 2 workers",
"897",,"مستودع أومحل + 2 عامل","38244000","Warehouse or shop + 2 workers",
"898","شريطة ان لايحتوي على اسمنت لاصق","مستودع أومحل + 2 عامل","38245000","Warehouse or shop + 2 workers","Provided that it does not contain adhesive cement"
"899",,"مستودع أومحل + 2 عامل","38246000","Warehouse or shop + 2 workers",
"900",,"مستودع أومحل + 2 عامل","38248100","Warehouse or shop + 2 workers",
"901",,"مستودع أومحل + 2 عامل","38248200","Warehouse or shop + 2 workers",
"902",,"مستودع أومحل + 2 عامل","38248300","Warehouse or shop + 2 workers",
"903",,"مستودع أومحل + 2 عامل","38249100","Warehouse or shop + 2 workers",
"904","شريطة ان لايحتوي على اسمنت لاصق","مستودع أومحل + 2 عامل","38249900","Warehouse or shop + 2 workers","Provided that it does not contain adhesive cement"
"905",,"مستودع أومحل + 2 عامل","39011000","Warehouse or shop + 2 workers",
"906",,"مستودع أومحل + 2 عامل","39012000","Warehouse or shop + 2 workers",
"907",,"مستودع أومحل + 2 عامل","39013000","Warehouse or shop + 2 workers",
"908",,"مستودع أومحل + 2 عامل","39014000","Warehouse or shop + 2 workers",
"909",,"مستودع أومحل + 2 عامل","39019000","Warehouse or shop + 2 workers",
"910",,"مستودع أومحل + 2 عامل","39021000","Warehouse or shop + 2 workers",
"911",,"مستودع أومحل + 2 عامل","39022000","Warehouse or shop + 2 workers",
"912",,"مستودع أومحل + 2 عامل","39023000","Warehouse or shop + 2 workers",
"913",,"مستودع أومحل + 2 عامل","39029000","Warehouse or shop + 2 workers",
"914",,"مستودع أومحل + 2 عامل","39031100","Warehouse or shop + 2 workers",
"915",,"مستودع أومحل + 2 عامل","39031900","Warehouse or shop + 2 workers",
"916",,"مستودع أومحل + 2 عامل","39032000","Warehouse or shop + 2 workers",
"917",,"مستودع أومحل + 2 عامل","39033000","Warehouse or shop + 2 workers",
"918",,"مستودع أومحل + 2 عامل","39039000","Warehouse or shop + 2 workers",
"919",,"مستودع أومحل + 2 عامل","39041000","Warehouse or shop + 2 workers",
"920",,"مستودع أومحل + 2 عامل","39042100","Warehouse or shop + 2 workers",
"921",,"مستودع أومحل + 2 عامل","39042200","Warehouse or shop + 2 workers",
"922",,"مستودع أومحل + 2 عامل","39043000","Warehouse or shop + 2 workers",
"923",,"مستودع أومحل + 2 عامل","39044000","Warehouse or shop + 2 workers",
"924",,"مستودع أومحل + 2 عامل","39049000","Warehouse or shop + 2 workers",
"925",,"مستودع أومحل + 2 عامل","39051200","Warehouse or shop + 2 workers",
"926",,"مستودع أومحل + 2 عامل","39051900","Warehouse or shop + 2 workers",
"927",,"مستودع أومحل + 2 عامل","39052100","Warehouse or shop + 2 workers",
"928",,"مستودع أومحل + 2 عامل","39052900","Warehouse or shop + 2 workers",
"929",,"مستودع أومحل + 2 عامل","39053000","Warehouse or shop + 2 workers",
"930",,"مستودع أومحل + 2 عامل","39059100","Warehouse or shop + 2 workers",
"931",,"مستودع أومحل + 2 عامل","39059900","Warehouse or shop + 2 workers",
"932",,"مستودع أومحل + 2 عامل","39061000","Warehouse or shop + 2 workers",
"933",,"مستودع أومحل + 2 عامل","39069000","Warehouse or shop + 2 workers",
"934",,"مستودع أومحل + 2 عامل","39071000","Warehouse or shop + 2 workers",
"935",,"مستودع أومحل + 2 عامل","39072100","Warehouse or shop + 2 workers",
"936",,"مستودع أومحل + 2 عامل","39072900","Warehouse or shop + 2 workers",
"937",,"مستودع أومحل + 2 عامل","39073000","Warehouse or shop + 2 workers",
"938",,"مستودع أومحل + 2 عامل","39074000","Warehouse or shop + 2 workers",
"939",,"مستودع أومحل + 2 عامل","39075000","Warehouse or shop + 2 workers",
"940",,"مستودع أومحل + 2 عامل","39076100","Warehouse or shop + 2 workers",
"941",,"مستودع أومحل + 2 عامل","39076900","Warehouse or shop + 2 workers",
"942",,"مستودع أومحل + 2 عامل","39077000","Warehouse or shop + 2 workers",
"943",,"مستودع أومحل + 2 عامل","39079100","Warehouse or shop + 2 workers",
"944",,"مستودع أومحل + 2 عامل","39079900","Warehouse or shop + 2 workers",
"945",,"مستودع أومحل + 2 عامل","39081000","Warehouse or shop + 2 workers",
"946",,"مستودع أومحل + 2 عامل","39089000","Warehouse or shop + 2 workers",
"947",,"مستودع أومحل + 2 عامل","39091000","Warehouse or shop + 2 workers",
"948",,"مستودع أومحل + 2 عامل","39092000","Warehouse or shop + 2 workers",
"949",,"مستودع أومحل + 2 عامل","39093100","Warehouse or shop + 2 workers",
"950",,"مستودع أومحل + 2 عامل","39093900","Warehouse or shop + 2 workers",
"951",,"مستودع أومحل + 2 عامل","39094000","Warehouse or shop + 2 workers",
"952",,"مستودع أومحل + 2 عامل","39095000","Warehouse or shop + 2 workers",
"953",,"مستودع أومحل + 2 عامل","39100000","Warehouse or shop + 2 workers",
"954",,"مستودع أومحل + 2 عامل","39111000","Warehouse or shop + 2 workers",
"955",,"مستودع أومحل + 2 عامل","39119000","Warehouse or shop + 2 workers",
"956",,"مستودع أومحل + 2 عامل","39121100","Warehouse or shop + 2 workers",
"957",,"مستودع أومحل + 2 عامل","39121200","Warehouse or shop + 2 workers",
"958",,"مستودع أومحل + 2 عامل","39122000","Warehouse or shop + 2 workers",
"959",,"مستودع أومحل + 2 عامل","39123100","Warehouse or shop + 2 workers",
"960",,"مستودع أومحل + 2 عامل","39123900","Warehouse or shop + 2 workers",
"961",,"مستودع أومحل + 2 عامل","39129000","Warehouse or shop + 2 workers",
"962",,"مستودع أومحل + 2 عامل","39131000","Warehouse or shop + 2 workers",
"963",,"مستودع أومحل + 2 عامل","39139000","Warehouse or shop + 2 workers",
"964",,"مستودع أومحل + 2 عامل","39140000","Warehouse or shop + 2 workers",
"965",,"مستودع أومحل + 2 عامل","39162000","Warehouse or shop + 2 workers",
"966",,"مستودع أومحل + 2 عامل","39169000","Warehouse or shop + 2 workers",
"967",,"مستودع أومحل + 2 عامل","39171000","Warehouse or shop + 2 workers",
"968","شريطة أن يكون مستلزمات إنتاج زراعي أو صناعي مرتبط بمنشأة وألا تحتوي شليمونات بلاستيكية للشرب لمنشاة صناعية قائمة وتعمل فقط وبموجب كتاب مخصصات","مستودع أومحل + 2 عامل + منشأة صناعية","39172100","Warehouse or shop + 2 workers + industrial facility","Provided that they are agricultural or industrial production requirements linked to a facility and do not contain plastic drinking straws for an existing industrial facility that operates only under an allocation letter."
"969","شريطة أن تكون مستلزمات إنتاج زراعي أو صناعي مرتبط بمنشأة صناعية أو شليمونات بلاستيكية للشرب واردة ضمن كتاب المخصصات الصناعية. لمنشاة صناعية قائمة وتعمل فقط","مستودع أومحل + 2 عامل + منشأة صناعية","39172200","Warehouse or shop + 2 workers + industrial facility","Provided that the requirements for agricultural or industrial production related to an industrial facility or plastic drinking straws are included in the industrial allocations book. For an existing and operating industrial facility only"
"970",,"مستودع أومحل + 2 عامل","39172300","Warehouse or shop + 2 workers",
"971",,"مستودع أومحل + 2 عامل","39172900","Warehouse or shop + 2 workers",
"972",,"مستودع أومحل + 2 عامل","39173100","Warehouse or shop + 2 workers",
"973",,"مستودع أومحل + 2 عامل","39173200","Warehouse or shop + 2 workers",
"974",,"مستودع أومحل + 2 عامل","39173300","Warehouse or shop + 2 workers",
"975",,"مستودع أومحل + 2 عامل","39173900","Warehouse or shop + 2 workers",
"976",,"مستودع أومحل + 2 عامل","39174000","Warehouse or shop + 2 workers",
"977","شريطة أن تكون لمنشأة صناعية تعمل بصناعة القوارب واليخوت","مستودع أومحل + 2 عامل + منشأة صناعية","39189000","Warehouse or shop + 2 workers + industrial facility","Provided that it is for an industrial facility that manufactures boats and yachts"
"978","شريطة أن يكون الوصف التجاري أشرطة لاصقة حصراً","مستودع أومحل + 2 عامل","39191000","Warehouse or shop + 2 workers","Provided that the commercial description is exclusively adhesive tapes"
"979","شريطة أن لا تحتوي على اكسسوارات موبايل","مستودع أومحل + 2 عامل","39199000","Warehouse or shop + 2 workers","Provided that it does not contain mobile accessories"
"980","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39201000","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"981","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39202000","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"982","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39203000","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"983","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39204300","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"984","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39204900","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"985","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39205100","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"986","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39205900","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"987","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39206100","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"988","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39206200","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"989","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39206300","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"990","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39206900","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"991","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39207100","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"992","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39207300","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"993","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39207900","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"994","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39209100","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"995","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39209200","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"996","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39209400","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"997","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39209900","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"998","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39211100","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"999","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39211200","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"1000","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39211300","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"1001","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39211400","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"1002","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39211900","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"1003","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39219000","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"1004","شريطة أن يكون الوصف التجاري مقاعد وأغطية للمراحيض و شريطة أن تكون للمنشآت الصناعية القائمة وتعمل في إنتاج أطقم الحمامات فقط أو أن تكون لمنشأة صناعية تعمل بصناعة القوارب واليخوت","مستودع أومحل + 2 عامل + منشأة صناعية","39222000","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is for toilet seats and covers, and provided that it is for existing industrial facilities that work in the production of bathroom sets only, or that it is for an industrial facility that works in the manufacture of boats and yachts."
"1005","حصرا بالمنشآت الصناعية القائمة وتعمل بالإضافة للمنشآت التي تقوم بتربية الانتاج الحيواني ولاسيما الأبقار","مستودع أومحل + 2 عامل + منشأة صناعية","39231000","Warehouse or shop + 2 workers + industrial facility","Exclusively in existing industrial facilities that operate in addition to facilities that raise animal production, especially cows"
"1006","شريطة أن يكون الوصف التجاري أكياس الأسبتك المعقمة وللمنشآت الصناعية الخاصة بالصناعات الغذائية ووفق طاقتها الإنتاجيةأو أن يكون الوصف التجاري أكياس النايلون للمنشآت الصناعية القائمة وتعمل بموجب كتاب مخصصات صناعية","مستودع أومحل + 2 عامل + منشأة صناعية","39232100","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is for sterile asbestos bags for industrial establishments related to food industries and according to their production capacity, or that the commercial description is for nylon bags for existing industrial establishments operating under an industrial allocations book."
"1007","شريطة أن يكون الوصف التجاري أكياس سيروم فارغة أو شريطة أن يكون الوصف التجاري أكياس الأسبتك المعقمة وللمنشآت الصناعية الخاصة بالصناعات الغذائية ووفق طاقتها الإنتاجية أو أن يكون الوصف التجاري أكياس النايلون للمنشآت الصناعية القائمة وتعمل بموجب كتاب مخصصات صناعية","مستودع أومحل + 2 عامل","39232900","Warehouse or shop + 2 workers","Provided that the commercial description is empty serum bags, or provided that the commercial description is sterile aspartic bags and for industrial facilities related to food industries and according to their production capacity, or the commercial description is nylon bags for existing industrial facilities operating under an industrial allocations book."
"1008","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة ولمنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل + منشأة صناعية","39233010","Warehouse or shop + 2 workers + industrial facility","Provided that it does not contain agricultural household supplies, nylon bags and rolls for household uses, or ready-made plastic products. For an industrial facility, the phrase “nylon bags” shall be deleted from the requirement."
"1009","حصراً لمنشأة صناعية قائمة وتعمل وشريطة أن لا تحتوي على مستلزمات بيوت زراعية أو لفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة","مستودع أومحل + 2 عامل + منشأة صناعية","39233090","Warehouse or shop + 2 workers + industrial facility","Exclusively for an existing and operating industrial facility, provided that it does not contain agricultural greenhouse supplies, coils for household uses, or ready-made plastic products."
"1010","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39234000","Warehouse or shop + 2 workers","Provided that it does not contain agricultural greenhouse supplies, nylon bags and rolls for household uses, or ready-made plastic products. In the case of an industrial facility, the phrase “nylon bags” shall be struck from the requirement."
"1011","حصراً لمنشأة صناعية قائمة وتعمل وشريطة أن لا تحتوي على مستلزمات بيوت زراعية أو لفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة","مستودع أومحل + 2 عامل + منشأة صناعية","39235000","Warehouse or shop + 2 workers + industrial facility","Exclusively for an existing and operating industrial facility, provided that it does not contain agricultural greenhouse supplies, coils for household uses, or ready-made plastic products."
"1012","شريطة أن يكون الوصف التجاري (طبليات بلاستيك)","مستودع أومحل + 2 عامل","39239000","Warehouse or shop + 2 workers","Provided that the commercial description is (plastic pallets)"
"1013","ببرونات أطفال حصراً من هذا البند","مستودع أومحل + 2 عامل","39249000","Warehouse or shop + 2 workers","Baby bottles are exclusively from this item"
"1014","شريطة أن لا تحتوي على مستلزمات بيوت زراعية أو  أكياس نايلون ولفائف للاستخدامات المنزلية أو مصنوعات بلاستيكية جاهزة وفي حال المنشأة صناعية تشطب عبارة """" أكياس نايلون"""" من الشرط","مستودع أومحل + 2 عامل","39261000","Warehouse or shop + 2 workers","Provided that it does not contain agricultural household supplies, nylon bags and rolls for household uses, or ready-made plastic products. For an industrial facility, the phrase “nylon bags” shall be deleted from the requirement."
